mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
stencil3d/iommu_e2048_m1000ns	13967.503	13967503000	0.013968	710.29	0.000	618.664	276398	276332	66	99.9761	0	0
stencil3d/iommu_e8_m250ns	13959.717	13959717000	0.013960	702.58	0.000	601.516	276454	276258	196	99.9291	0	0
stencil3d/iommu_e32_m500ns	13951.932	13951932000	0.013952	694.67	0.000	586.672	276404	276336	68	99.9754	0	0
stencil3d/iommu_e32_m250ns	13944.297	13944297000	0.013944	686.61	0.000	569.668	276402	276334	68	99.9754	0	0
stencil3d/iommu_e8_m500ns	13983.303	13983303000	0.013983	726.28	0.000	650.516	276454	276258	196	99.9291	0	0
stencil3d/plain	13879.399	13879399000	0.013879	622.76	0.000	-	-	-	-	-	0	0
stencil3d/iommu_e16_m250ns	13959.717	13959717000	0.013960	702.58	0.000	601.516	276454	276258	196	99.9291	0	0
stencil3d/iommu_e8_m1000ns	14031.805	14031805000	0.014032	774.86	0.000	748.504	276448	276252	196	99.9291	0	0
stencil3d/iommu_e32_m100ns	13938.375	13938375000	0.013938	681.21	0.000	559.456	276396	276328	68	99.9754	0	0
stencil3d/iommu_e16_m500ns	13983.303	13983303000	0.013983	726.28	0.000	650.516	276454	276258	196	99.9291	0	0
stencil3d/iommu_e2048_m250ns	13944.070	13944070000	0.013944	686.37	0.000	569.172	276402	276336	66	99.9761	0	0
stencil3d/iommu_e64_m500ns	13951.124	13951124000	0.013951	694.21	0.000	585.676	276404	276338	66	99.9761	0	0
stencil3d/iommu_e64_m100ns	13938.375	13938375000	0.013938	681.12	0.000	559.260	276396	276330	66	99.9761	0	0
stencil3d/iommu_e16_m100ns	13944.770	13944770000	0.013945	687.16	0.000	572.048	276420	276224	196	99.9291	0	0
stencil3d/aia-kd	14035.379	14035379000	0.014035	778.56	1045.555	-	-	-	-	-	139072	33
stencil3d/iommu_e256_m500ns	13951.124	13951124000	0.013951	694.21	0.000	585.676	276404	276338	66	99.9761	0	0
stencil3d/iommu_e64_m250ns	13944.070	13944070000	0.013944	686.37	0.000	569.172	276402	276336	66	99.9761	0	0
stencil3d/iommu_e64_m1000ns	13967.503	13967503000	0.013968	710.29	0.000	618.664	276398	276332	66	99.9761	0	0
stencil3d/iommu_e256_m1000ns	13967.503	13967503000	0.013968	710.29	0.000	618.664	276398	276332	66	99.9761	0	0
stencil3d/iommu_e256_m100ns	13938.375	13938375000	0.013938	681.12	0.000	559.260	276396	276330	66	99.9761	0	0
stencil3d/iommu_e8_m100ns	13944.770	13944770000	0.013945	687.16	0.000	572.048	276420	276224	196	99.9291	0	0
stencil3d/iommu_e2048_m500ns	13951.124	13951124000	0.013951	694.21	0.000	585.676	276404	276338	66	99.9761	0	0
stencil2d/iommu_e8_m500ns	14406.653	14406653000	0.014407	1507.42	0.000	1553.658	312195	310329	1866	99.4023	0	0
stencil2d/iommu_e64_m100ns	13945.250	13945250000	0.013945	1042.75	0.000	626.408	311538	311504	34	99.9891	0	0
stencil2d/iommu_e64_m1000ns	13959.397	13959397000	0.013959	1058.19	0.000	657.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e32_m250ns	13944.449	13944449000	0.013944	1045.3	0.000	631.508	311538	311504	34	99.9891	0	0
stencil2d/iommu_e32_m100ns	13945.250	13945250000	0.013945	1042.75	0.000	626.408	311538	311504	34	99.9891	0	0
stencil2d/iommu_e8_m250ns	14175.607	14175607000	0.014176	1274.03	0.000	1087.154	312193	310327	1866	99.4023	0	0
stencil2d/plain	14058.818	14058818000	0.014059	1159.24	0.000	-	-	-	-	-	0	0
stencil2d/iommu_e64_m500ns	13949.474	13949474000	0.013949	1049.69	0.000	640.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e256_m500ns	13949.474	13949474000	0.013949	1049.69	0.000	640.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e32_m500ns	13949.474	13949474000	0.013949	1049.69	0.000	640.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e16_m250ns	14175.607	14175607000	0.014176	1274.03	0.000	1087.154	312193	310327	1866	99.4023	0	0
stencil2d/iommu_e64_m250ns	13944.449	13944449000	0.013944	1045.3	0.000	631.508	311538	311504	34	99.9891	0	0
stencil2d/iommu_e2048_m1000ns	13959.397	13959397000	0.013959	1058.19	0.000	657.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e16_m1000ns	14876.331	14876331000	0.014876	1973.78	0.000	2486.660	312194	310328	1866	99.4023	0	0
stencil2d/iommu_e32_m1000ns	13959.397	13959397000	0.013959	1058.19	0.000	657.012	311540	311506	34	99.9891	0	0
stencil2d/iommu_e8_m100ns	14035.460	14035460000	0.014035	1134.08	0.000	807.254	312193	310327	1866	99.4023	0	0
stencil2d/iommu_e2048_m100ns	13945.250	13945250000	0.013945	1042.75	0.000	626.408	311538	311504	34	99.9891	0	0
stencil2d/iommu_e8_m1000ns	14876.331	14876331000	0.014876	1973.78	0.000	2486.660	312194	310328	1866	99.4023	0	0
stencil2d/aia-kd	14102.293	14102293000	0.014102	1199.82	576.233	-	-	-	-	-	156941	17
stencil2d/iommu_e16_m500ns	14406.653	14406653000	0.014407	1507.42	0.000	1553.658	312195	310329	1866	99.4023	0	0
stencil2d/iommu_e256_m250ns	13944.449	13944449000	0.013944	1045.3	0.000	631.508	311538	311504	34	99.9891	0	0
stencil2d/iommu_e2048_m500ns	13949.474	13949474000	0.013949	1049.69	0.000	640.012	311540	311506	34	99.9891	0	0
